track,album,release_date,recording_period,producers,writers,vocals
Fit to Be Tied,Pieces,"September 9, 2009","1971–1973, 1975","The Albert Brothers, Stephen Stills",,
Love and Satisfy,Pieces,"September 9, 2009","1971–1973, 1975","The Albert Brothers, Stephen Stills",Chris Hillman,
High and Dry,Pieces,"September 9, 2009","1971–1973, 1975","The Albert Brothers, Stephen Stills",,
Panhandle Rag,Pieces,"September 9, 2009","1971–1973, 1975","The Albert Brothers, Stephen Stills",Leon McAuliffe,
Uncle Pen,Pieces,"September 9, 2009","1971–1973, 1975","The Albert Brothers, Stephen Stills",Bill Monroe,
Do You Remember the Americans,Pieces,"September 9, 2009","1971–1973, 1975","The Albert Brothers, Stephen Stills",,
"Dim Lights, Thick Smoke (And Loud, Loud Music)",Pieces,"September 9, 2009","1971–1973, 1975","The Albert Brothers, Stephen Stills","Joe Maphis, Max Fidler, Rose Lee Maphis",
I Am My Brother,Pieces,"September 9, 2009","1971–1973, 1975","The Albert Brothers, Stephen Stills",,
Treetop Flyer,Live At Shepherd's Bush,"November 2, 2009",,Stephen Stills,,
4+20,Live At Shepherd's Bush,"November 2, 2009",,Stephen Stills,,
Johnny's Garden,Live At Shepherd's Bush,"November 2, 2009",,Stephen Stills,,
Change Partners,Live At Shepherd's Bush,"November 2, 2009",,Stephen Stills,,
Girl from the North Country,Live At Shepherd's Bush,"November 2, 2009",,Stephen Stills,Bob Dylan,
Blind Fiddler,Live At Shepherd's Bush,"November 2, 2009",,Stephen Stills,,
Isn't It About Time,Live At Shepherd's Bush,"November 2, 2009",,Stephen Stills,,
Rock & Roll Woman,Live At Shepherd's Bush,"November 2, 2009",,Stephen Stills,,
Wrong Thing to Do,Live At Shepherd's Bush,"November 2, 2009",,Stephen Stills,Tom Petty,
Wounded World / Rocky Mountain Way,Live At Shepherd's Bush,"November 2, 2009",,Stephen Stills,"Graham Nash, Stills / Rocke Grace, Kenny Passarelli, Joe Vitale, Joe Walsh",
Bluebird,Live At Shepherd's Bush,"November 2, 2009",,Stephen Stills,,
For What It's Worth,Live At Shepherd's Bush,"November 2, 2009",,Stephen Stills,,
Love the One You're With,Live At Shepherd's Bush,"November 2, 2009",,Stephen Stills,,
Roadhouse,Can't Get Enough,"August 27, 2013",,"Jerry Harrison, Stephen Stills, Kenny Wayne Shepherd",,
That's a Pretty Good Love,Can't Get Enough,"August 27, 2013",,"Jerry Harrison, Stephen Stills, Kenny Wayne Shepherd","Bryant Lucas, Fred Mendelsohn",
Don't Want Lies,Can't Get Enough,"August 27, 2013",,"Jerry Harrison, Stephen Stills, Kenny Wayne Shepherd",,
Search and Destroy,Can't Get Enough,"August 27, 2013",,"Jerry Harrison, Stephen Stills, Kenny Wayne Shepherd","Iggy Pop, James Williamson",
Honey Bee,Can't Get Enough,"August 27, 2013",,"Jerry Harrison, Stephen Stills, Kenny Wayne Shepherd",Muddy Waters,
Rockin' in the Free World,Can't Get Enough,"August 27, 2013",,"Jerry Harrison, Stephen Stills, Kenny Wayne Shepherd","Frank Sampedro, Neil Young",
Talk to Me Baby,Can't Get Enough,"August 27, 2013",,"Jerry Harrison, Stephen Stills, Kenny Wayne Shepherd",Elmore James,
Only Teardrops Fall,Can't Get Enough,"August 27, 2013",,"Jerry Harrison, Stephen Stills, Kenny Wayne Shepherd",,
Word Game,Can't Get Enough,"August 27, 2013",,"Jerry Harrison, Stephen Stills, Kenny Wayne Shepherd",Stephen Stills,
Kick Out Of It,Pierced Arrow,6 May 2016,,"Stephen Stills, Kenny Wayne Shepherd, Barry Goldberg","Stills, Shepherd, Goldberg",
Riva Diva,Pierced Arrow,6 May 2016,,"Stephen Stills, Kenny Wayne Shepherd, Barry Goldberg",,
Virtual World,Pierced Arrow,6 May 2016,,"Stephen Stills, Kenny Wayne Shepherd, Barry Goldberg",,
By My Side,Pierced Arrow,6 May 2016,,"Stephen Stills, Kenny Wayne Shepherd, Barry Goldberg","Shepherd, Goldberg",
Mr. Policeman,Pierced Arrow,6 May 2016,,"Stephen Stills, Kenny Wayne Shepherd, Barry Goldberg",,
Game On,Pierced Arrow,6 May 2016,,"Stephen Stills, Kenny Wayne Shepherd, Barry Goldberg",,
I Need Your Lovin',Pierced Arrow,6 May 2016,,"Stephen Stills, Kenny Wayne Shepherd, Barry Goldberg","Shepherd, Goldberg",
There Was A Place,Pierced Arrow,6 May 2016,,"Stephen Stills, Kenny Wayne Shepherd, Barry Goldberg",,
My Babe,Pierced Arrow,6 May 2016,,"Stephen Stills, Kenny Wayne Shepherd, Barry Goldberg",Willie Dixon,
Handle with Care,Everybody Knows,"September 22, 2017",2017,,"Bob Dylan, Jeff Lynne, Tom Petty, George Harrison, Roy Orbison",
So Begins the Task,Everybody Knows,"September 22, 2017",2017,,Stephen Stills,
River of Gold,Everybody Knows,"September 22, 2017",2017,,Judy Collins,
Judy,Everybody Knows,"September 22, 2017",2017,,Stills,
Everybody Knows,Everybody Knows,"September 22, 2017",2017,,"Leonard Cohen, Sharon Robinson",
Houses,Everybody Knows,"September 22, 2017",2017,,Collins,
Reason to Believe,Everybody Knows,"September 22, 2017",2017,,Tim Hardin,
Girl from the North Country,Everybody Knows,"September 22, 2017",2017,,Dylan,
Who Knows Where the Time Goes,Everybody Knows,"September 22, 2017",2017,,Sandy Denny,
Questions,Everybody Knows,"September 22, 2017",2017,,Stills,
Talking 'bout You,Stay with the Hollies,January 1964,15 May – 11 December 1963,Ron Richards,Chuck Berry,"Clarke, Hicks, Nash"
Mr. Moonlight,Stay with the Hollies,January 1964,15 May – 11 December 1963,Ron Richards,Roy Lee Johnson,Nash
You Better Move On,Stay with the Hollies,January 1964,15 May – 11 December 1963,Ron Richards,Arthur Alexander,Clarke and Nash
Lucille,Stay with the Hollies,January 1964,15 May – 11 December 1963,Ron Richards,"Al Collins, Little Richard",Clarke and Nash
Baby Don't Cry,Stay with the Hollies,January 1964,15 May – 11 December 1963,Ron Richards,"Tony Hiller, Perry Ford",Clarke and Nash
Memphis,Stay with the Hollies,January 1964,15 May – 11 December 1963,Ron Richards,Chuck Berry,Clarke and Nash
Rockin' Robin,Stay with the Hollies,January 1964,15 May – 11 December 1963,Ron Richards,Jimmie Thomas,Clarke
Whatcha Gonna Do 'bout It?,Stay with the Hollies,January 1964,15 May – 11 December 1963,Ron Richards,"Gregory Carroll, Doris Payne",Clarke with Nash
Do You Love Me,Stay with the Hollies,January 1964,15 May – 11 December 1963,Ron Richards,Berry Gordy,Clarke
It's Only Make Believe,Stay with the Hollies,January 1964,15 May – 11 December 1963,Ron Richards,"Conway Twitty, Jack Nance",Clarke and Nash
What Kind of Girl Are You,Stay with the Hollies,January 1964,15 May – 11 December 1963,Ron Richards,Ray Charles,Clarke and Nash
Little Lover,Stay with the Hollies,January 1964,15 May – 11 December 1963,Ron Richards,"Graham Nash, Allan Clarke",Clarke
Nitty Gritty/Something's Got a Hold on Me,In The Hollies Style,November 1964,13 April – 25 August 1964,Ron Richards,"Lincoln Chase/Etta James, Leroy Kirkland, Pearl Woods",Clarke
Don't You Know,In The Hollies Style,November 1964,13 April – 25 August 1964,Ron Richards,,"Clarke, with Hicks and Nash"
To You My Love,In The Hollies Style,November 1964,13 April – 25 August 1964,Ron Richards,,Nash
It's in Her Kiss,In The Hollies Style,November 1964,13 April – 25 August 1964,Ron Richards,Rudy Clark,"Clarke, Nash and Hicks"
Time for Love,In The Hollies Style,November 1964,13 April – 25 August 1964,Ron Richards,,Clarke with Nash
Too Much Monkey Business,In The Hollies Style,November 1964,13 April – 25 August 1964,Ron Richards,Chuck Berry,"Clarke, Nash and Hicks"
I Thought of You Last Night,In The Hollies Style,November 1964,13 April – 25 August 1964,Ron Richards,Ralph Freed,Clarke and Nash
Please Don't Feel Too Bad,In The Hollies Style,November 1964,13 April – 25 August 1964,Ron Richards,,Clarke
Come On Home,In The Hollies Style,November 1964,13 April – 25 August 1964,Ron Richards,,Clarke and Nash
You'll Be Mine,In The Hollies Style,November 1964,13 April – 25 August 1964,Ron Richards,,Clarke
Very Last Day,Hollies,September 1965,10 November 1964 – 13 July 1965,Ron Richards,"Noel Stookey, Peter Yarrow",Clarke
You Must Believe Me,Hollies,September 1965,10 November 1964 – 13 July 1965,Ron Richards,Curtis Mayfield,Clarke
Put Yourself in My Place,Hollies,September 1965,10 November 1964 – 13 July 1965,Ron Richards,L. Ransford,Clarke and Nash
Down the Line,Hollies,September 1965,10 November 1964 – 13 July 1965,Ron Richards,Roy Orbison,Clarke
That's My Desire,Hollies,September 1965,10 November 1964 – 13 July 1965,Ron Richards,"Carroll Loveday, Helmy Kresa","Clarke, Hicks, Nash Bridge: Clarke"
Lawdy Miss Clawdy,Hollies,September 1965,10 November 1964 – 13 July 1965,Ron Richards,Lloyd Price,Clarke
When I Come Home to You,Hollies,September 1965,10 November 1964 – 13 July 1965,Ron Richards,L. Ransford,Clarke
Fortune Teller,Hollies,September 1965,10 November 1964 – 13 July 1965,Ron Richards,Naomi Neville,Clarke and Nash
So Lonely,Hollies,September 1965,10 November 1964 – 13 July 1965,Ron Richards,L. Ransford,Clarke and Nash
I've Been Wrong,Hollies,September 1965,10 November 1964 – 13 July 1965,Ron Richards,L. Ransford,Clarke and Nash
I'm Alive (Clint Ballard Jr.),Hollies,September 1965,10 November 1964 – 13 July 1965,Ron Richards,,
"Very Last Day (Paul Stookey, Peter Yarrow)",Hollies,September 1965,10 November 1964 – 13 July 1965,Ron Richards,,
You Must Believe Me (Curtis Mayfield),Hollies,September 1965,10 November 1964 – 13 July 1965,Ron Richards,,
Put Yourself in My Place,Hollies,September 1965,10 November 1964 – 13 July 1965,Ron Richards,,
Down the Line (Roy Orbison),Hollies,September 1965,10 November 1964 – 13 July 1965,Ron Richards,,
"Look Through Any Window (Charles Silverman,Graham Gouldman)",Hollies,September 1965,10 November 1964 – 13 July 1965,Ron Richards,,
Lawdy Miss Clawdy (Lloyd Price),Hollies,September 1965,10 November 1964 – 13 July 1965,Ron Richards,,
When I Come Home to You,Hollies,September 1965,10 November 1964 – 13 July 1965,Ron Richards,,
So Lonely,Hollies,September 1965,10 November 1964 – 13 July 1965,Ron Richards,,
I've Been Wrong,Hollies,September 1965,10 November 1964 – 13 July 1965,Ron Richards,,
I Take What I Want,Would You Believe?,1 July 1966,14 September 1965 – 25 March 1966,Ron Richards,"David Porter, Mabon ""Teenie"" Hodges, Isaac Hayes",Clarke
Hard Hard Year,Would You Believe?,1 July 1966,14 September 1965 – 25 March 1966,Ron Richards,Ransford,Clarke
That's How Strong My Love Is,Would You Believe?,1 July 1966,14 September 1965 – 25 March 1966,Ron Richards,Roosevelt Jamison,Clarke
Sweet Little Sixteen,Would You Believe?,1 July 1966,14 September 1965 – 25 March 1966,Ron Richards,Chuck Berry,Clarke
Oriental Sadness,Would You Believe?,1 July 1966,14 September 1965 – 25 March 1966,Ron Richards,Ransford,Clarke and Nash
Take Your Time,Would You Believe?,1 July 1966,14 September 1965 – 25 March 1966,Ron Richards,"Buddy Holly, Norman Petty","Clarke, Nash"
Don't You Even Care,Would You Believe?,1 July 1966,14 September 1965 – 25 March 1966,Ron Richards,"Clint Ballard, Jr.",Clarke
Fifi the Flea,Would You Believe?,1 July 1966,14 September 1965 – 25 March 1966,Ron Richards,Ransford,Nash
Stewball,Would You Believe?,1 July 1966,14 September 1965 – 25 March 1966,Ron Richards,"Bob Yellin, Ralph Rinzler, John Herald","Clarke, Nash, and Hicks"
I've Got a Way of My Own,Would You Believe?,1 July 1966,14 September 1965 – 25 March 1966,Ron Richards,Ransford,Clarke and Nash
Bus Stop,Bus Stop,October 1966,1963–1966,Ron Richards,Graham Gouldman,Clarke
Candy Man,Bus Stop,October 1966,1963–1966,Ron Richards,Neil-Ross,Clarke
Baby That's All,Bus Stop,October 1966,1963–1966,Ron Richards,Chester Mann,"Clarke, Nash and Hicks"
I Am a Rock,Bus Stop,October 1966,1963–1966,Ron Richards,Paul Simon,Clarke
Sweet Little Sixteen,Bus Stop,October 1966,1963–1966,Ron Richards,Chuck Berry,Clarke
Don't Run and Hide,Bus Stop,October 1966,1963–1966,Ron Richards,L. Ransford,Clarke
Oriental Sadness,Bus Stop,October 1966,1963–1966,Ron Richards,L. Ransford,Clarke and Nash
Mickey's Monkey,Bus Stop,October 1966,1963–1966,Ron Richards,Holland-Dozier-Holland,Clarke
Little Lover,Bus Stop,October 1966,1963–1966,Ron Richards,Clarke-Nash,Clarke
You Know He Did,Bus Stop,October 1966,1963–1966,Ron Richards,L. Ransford,Clarke
I Take What I Want,Bus Stop,October 1966,1963–1966,Ron Richards,Porter-Hodges-Hayes,Clarke
That's How Strong My Love Is,Bus Stop,October 1966,1963–1966,Ron Richards,Roosevelt Jamison,Clarke
I've Got a Way of My Own,Bus Stop,October 1966,1963–1966,Ron Richards,L. Ransford,Clarke and Nash
Don't You Even Care (What's Gonna Happen to Me),Bus Stop,October 1966,1963–1966,Ron Richards,"Clint Ballard, Jr.",Clarke
Very Last Day,Bus Stop,October 1966,1963–1966,Ron Richards,Paul Stookey-Peter Yarrow,Clarke
What’s Wrong with the Way I Live,For Certain Because,9 December 1966,17 November 1965 –17 October 1966,Ron Richards,,
Pay You Back with Interest,For Certain Because,9 December 1966,17 November 1965 –17 October 1966,Ron Richards,,
Tell Me to My Face,For Certain Because,9 December 1966,17 November 1965 –17 October 1966,Ron Richards,,
Clown,For Certain Because,9 December 1966,17 November 1965 –17 October 1966,Ron Richards,,
Suspicious Look in Your Eyes,For Certain Because,9 December 1966,17 November 1965 –17 October 1966,Ron Richards,,
High Classed,For Certain Because,9 December 1966,17 November 1965 –17 October 1966,Ron Richards,,
Peculiar Situation,For Certain Because,9 December 1966,17 November 1965 –17 October 1966,Ron Richards,,
What Went Wrong,For Certain Because,9 December 1966,17 November 1965 –17 October 1966,Ron Richards,,
Crusader,For Certain Because,9 December 1966,17 November 1965 –17 October 1966,Ron Richards,,
Don't Even Think About Changing,For Certain Because,9 December 1966,17 November 1965 –17 October 1966,Ron Richards,,
Then the Heartaches Begin,Evolution,1 June 1967,11 January – 17 March 1967,Ron Richards,,
Stop Right There,Evolution,1 June 1967,11 January – 17 March 1967,Ron Richards,,
Water on the Brain,Evolution,1 June 1967,11 January – 17 March 1967,Ron Richards,,
Lullaby to Tim,Evolution,1 June 1967,11 January – 17 March 1967,Ron Richards,,
Have You Ever Loved Somebody?,Evolution,1 June 1967,11 January – 17 March 1967,Ron Richards,,
Rain on the Window,Evolution,1 June 1967,11 January – 17 March 1967,Ron Richards,,
Heading for a Fall,Evolution,1 June 1967,11 January – 17 March 1967,Ron Richards,,
Ye Olde Toffee Shoppe,Evolution,1 June 1967,11 January – 17 March 1967,Ron Richards,,
When Your Light's Turned On,Evolution,1 June 1967,11 January – 17 March 1967,Ron Richards,,
Leave Me,Evolution,1 June 1967,11 January – 17 March 1967,Ron Richards,,
Carrie Anne,Evolution,1 June 1967,11 January – 17 March 1967,Ron Richards,,
Stop Right There,Evolution,1 June 1967,11 January – 17 March 1967,Ron Richards,,
Rain on the Window,Evolution,1 June 1967,11 January – 17 March 1967,Ron Richards,,
Then the Heartaches Begin,Evolution,1 June 1967,11 January – 17 March 1967,Ron Richards,,
You Need Love,Evolution,1 June 1967,11 January – 17 March 1967,Ron Richards,,
Heading For a Fall,Evolution,1 June 1967,11 January – 17 March 1967,Ron Richards,,
Games We Play,Evolution,1 June 1967,11 January – 17 March 1967,Ron Richards,,
Lullaby to Tim,Evolution,1 June 1967,11 January – 17 March 1967,Ron Richards,,
Dear Eloise,Butterfly,1 November 1967,1 August – 6 October 1967,Ron Richards,,
Away Away Away,Butterfly,1 November 1967,1 August – 6 October 1967,Ron Richards,,
Maker,Butterfly,1 November 1967,1 August – 6 October 1967,Ron Richards,,
Pegasus,Butterfly,1 November 1967,1 August – 6 October 1967,Ron Richards,,
Would You Believe?,Butterfly,1 November 1967,1 August – 6 October 1967,Ron Richards,,
Postcard,Butterfly,1 November 1967,1 August – 6 October 1967,Ron Richards,,
Charlie and Fred,Butterfly,1 November 1967,1 August – 6 October 1967,Ron Richards,,
Try It,Butterfly,1 November 1967,1 August – 6 October 1967,Ron Richards,,
Elevated Observations?,Butterfly,1 November 1967,1 August – 6 October 1967,Ron Richards,,
Step Inside,Butterfly,1 November 1967,1 August – 6 October 1967,Ron Richards,,
Dear Eloise,Butterfly,1 November 1967,1 August – 6 October 1967,Ron Richards,,
Wishyouawish,Butterfly,1 November 1967,1 August – 6 October 1967,Ron Richards,,
Charlie and Fred,Butterfly,1 November 1967,1 August – 6 October 1967,Ron Richards,,
Butterfly,Butterfly,1 November 1967,1 August – 6 October 1967,Ron Richards,,
Leave Me,Butterfly,1 November 1967,1 August – 6 October 1967,Ron Richards,,
King Midas in Reverse,Butterfly,1 November 1967,1 August – 6 October 1967,Ron Richards,,
Would You Believe,Butterfly,1 November 1967,1 August – 6 October 1967,Ron Richards,,
Away Away Away,Butterfly,1 November 1967,1 August – 6 October 1967,Ron Richards,,
Maker,Butterfly,1 November 1967,1 August – 6 October 1967,Ron Richards,,
Casualty,What Goes Around...,July 1983,10 September 1981–2 February 1983,"The Hollies, Graham Nash",Paul Bliss,
Take My Love and Run,What Goes Around...,July 1983,10 September 1981–2 February 1983,"The Hollies, Graham Nash","Barry Black, Brian Chatton",
Say You'll Be Mine,What Goes Around...,July 1983,10 September 1981–2 February 1983,"The Hollies, Graham Nash",Paul Bliss,
Something Ain't Right,What Goes Around...,July 1983,10 September 1981–2 February 1983,"The Hollies, Graham Nash","Alan Tarney, Tom Snow, Trevor Spencer",
Stop! In the Name of Love,What Goes Around...,July 1983,10 September 1981–2 February 1983,"The Hollies, Graham Nash","Brian Holland, Lamont Dozier, Eddie Holland",
I Got What I Want,What Goes Around...,July 1983,10 September 1981–2 February 1983,"The Hollies, Graham Nash","Paul Bliss, Stephen Kipner",
Just One Look,What Goes Around...,July 1983,10 September 1981–2 February 1983,"The Hollies, Graham Nash","Gregory Carroll, Doris Payne",
Someone Elses Eyes,What Goes Around...,July 1983,10 September 1981–2 February 1983,"The Hollies, Graham Nash",Paul Bliss,
Rockin' Robin,The Hollies,June 1964,,Ron Richards,Thomas,Clarke
Whatcha Gonna Do 'Bout It,The Hollies,June 1964,,Ron Richards,"Gregory Carroll, Doris Payne",Clarke
Just One Look,Just One Look,June 1964,,Ron Richards,"Gregory Carroll, Doris Payne",Clarke
Lucille,Just One Look,June 1964,,Ron Richards,"Albert Collins, Richard Penniman",Clarke
You Better Move On,Here I Go Again,October 1964,,Ron Richards,Arthur Alexander,Clarke
Here I Go Again,Here I Go Again,October 1964,,Ron Richards,"Clive Westlake, Mort Shuman",Clarke
I'm Alive,I'm Alive,September 1965,,Ron Richards,"Clint Ballard, Jr.",Clarke
Honey and Wine,I'm Alive,September 1965,,Ron Richards,"Gerry Goffin, Carole King",Clarke
Military Madness,Songs for Beginners,28 May 1971,"1970–1971Wally Heiders Studio III, Los Angeles and Studio ""C"", San Francisco",Graham Nash,,
Better Days,Songs for Beginners,28 May 1971,"1970–1971Wally Heiders Studio III, Los Angeles and Studio ""C"", San Francisco",Graham Nash,,
Wounded Bird,Songs for Beginners,28 May 1971,"1970–1971Wally Heiders Studio III, Los Angeles and Studio ""C"", San Francisco",Graham Nash,,
I Used to Be a King,Songs for Beginners,28 May 1971,"1970–1971Wally Heiders Studio III, Los Angeles and Studio ""C"", San Francisco",Graham Nash,,
Simple Man,Songs for Beginners,28 May 1971,"1970–1971Wally Heiders Studio III, Los Angeles and Studio ""C"", San Francisco",Graham Nash,,
Man in the Mirror,Songs for Beginners,28 May 1971,"1970–1971Wally Heiders Studio III, Los Angeles and Studio ""C"", San Francisco",Graham Nash,,
There's Only One,Songs for Beginners,28 May 1971,"1970–1971Wally Heiders Studio III, Los Angeles and Studio ""C"", San Francisco",Graham Nash,,
Sleep Song,Songs for Beginners,28 May 1971,"1970–1971Wally Heiders Studio III, Los Angeles and Studio ""C"", San Francisco",Graham Nash,,
Chicago,Songs for Beginners,28 May 1971,"1970–1971Wally Heiders Studio III, Los Angeles and Studio ""C"", San Francisco",Graham Nash,,
Earth & Sky,Earth & Sky,15 February 1980,,Graham Nash,,
Love Has Come,Earth & Sky,15 February 1980,,Graham Nash,,
Out on the Island,Earth & Sky,15 February 1980,,Graham Nash,,
Skychild,Earth & Sky,15 February 1980,,Graham Nash,,
Barrel of Pain,Earth & Sky,15 February 1980,,Graham Nash,,
TV Guide,Earth & Sky,15 February 1980,,Graham Nash,"Nash, Joe Vitale",
It's All Right,Earth & Sky,15 February 1980,,Graham Nash,,
Magical Child,Earth & Sky,15 February 1980,,Graham Nash,,
See You in Prague,Innocent Eyes,27 March 1986,,"Craig Doerge, Graham Nash","Davitt Sigerson, Richie Zito",
Keep Away from Me,Innocent Eyes,27 March 1986,,"Craig Doerge, Graham Nash",Graham Nash,
Innocent Eyes,Innocent Eyes,27 March 1986,,"Craig Doerge, Graham Nash",Paul Bliss,
Chippin' Away,Innocent Eyes,27 March 1986,,"Craig Doerge, Graham Nash",Tom Fedora,
Don't Listen to the Rumours,Innocent Eyes,27 March 1986,,"Craig Doerge, Graham Nash",John Palermo,
Sad Eyes,Innocent Eyes,27 March 1986,,"Craig Doerge, Graham Nash",Nash,
Newday,Innocent Eyes,27 March 1986,,"Craig Doerge, Graham Nash","Craig Doerge, Nash",
Glass and Steel,Innocent Eyes,27 March 1986,,"Craig Doerge, Graham Nash",Nash,
Dirty Little Secret,Songs for Survivors,30 July 2002,2 October 2000 – 13 October 2000,"Graham Nash, Russ Kunkel","Russ Kunkel, Nash",
Blizzard of Lies,Songs for Survivors,30 July 2002,2 October 2000 – 13 October 2000,"Graham Nash, Russ Kunkel",,
Lost Another One,Songs for Survivors,30 July 2002,2 October 2000 – 13 October 2000,"Graham Nash, Russ Kunkel",,
The Chelsea Hotel,Songs for Survivors,30 July 2002,2 October 2000 – 13 October 2000,"Graham Nash, Russ Kunkel",,
I'll Be There for You,Songs for Survivors,30 July 2002,2 October 2000 – 13 October 2000,"Graham Nash, Russ Kunkel","Doug Ingoldsby, Nash, Joe Vitale",
Nothing in the World,Songs for Survivors,30 July 2002,2 October 2000 – 13 October 2000,"Graham Nash, Russ Kunkel",,
Where Love Lies Tonight,Songs for Survivors,30 July 2002,2 October 2000 – 13 October 2000,"Graham Nash, Russ Kunkel","Nash, Vitale",
Pavanne,Songs for Survivors,30 July 2002,2 October 2000 – 13 October 2000,"Graham Nash, Russ Kunkel","Richard Thompson, Linda Thompson",
Liar's Nightmare,Songs for Survivors,30 July 2002,2 October 2000 – 13 October 2000,"Graham Nash, Russ Kunkel","Nash, Jean Ritchie",
This Path Tonight,This Path Tonight,15 April 2016,,"Shane Fontayne, ",,
Myself at Last,This Path Tonight,15 April 2016,,"Shane Fontayne, ",,
Cracks in the City,This Path Tonight,15 April 2016,,"Shane Fontayne, ",,
Beneath the Waves,This Path Tonight,15 April 2016,,"Shane Fontayne, ",,
Fire Down Below,This Path Tonight,15 April 2016,,"Shane Fontayne, ",,
Another Broken Heart,This Path Tonight,15 April 2016,,"Shane Fontayne, ",,
Target,This Path Tonight,15 April 2016,,"Shane Fontayne, ",,
Golden Days,This Path Tonight,15 April 2016,,"Shane Fontayne, ",,
Back Home,This Path Tonight,15 April 2016,,"Shane Fontayne, ",,
Encore,This Path Tonight,15 April 2016,,"Shane Fontayne, ",,
Mississippi Burning,This Path Tonight,15 April 2016,,"Shane Fontayne, ",,
Watch Out for the Wind,This Path Tonight,15 April 2016,,"Shane Fontayne, ",,
Right Now,Now,19 May 2023,2020–2022,Graham NashTodd Caldwell,,
A Better Life,Now,19 May 2023,2020–2022,Graham NashTodd Caldwell,,
Golden Idols,Now,19 May 2023,2020–2022,Graham NashTodd Caldwell,,
Stars & Stripes,Now,19 May 2023,2020–2022,Graham NashTodd Caldwell,,
Love of Mine,Now,19 May 2023,2020–2022,Graham NashTodd Caldwell,,
Theme from Pastoral,Now,19 May 2023,2020–2022,Graham NashTodd Caldwell,,
In a Dream,Now,19 May 2023,2020–2022,Graham NashTodd Caldwell,,
Stand Up,Now,19 May 2023,2020–2022,Graham NashTodd Caldwell,,
It Feels Like Home,Now,19 May 2023,2020–2022,Graham NashTodd Caldwell,,
Buddy's Back,Now,19 May 2023,2020–2022,Graham NashTodd Caldwell,,
Follow Your Heart,Now,19 May 2023,2020–2022,Graham NashTodd Caldwell,,
I Watched It All Come Down,Now,19 May 2023,2020–2022,Graham NashTodd Caldwell,,
When It Comes to You,Now,19 May 2023,2020–2022,Graham NashTodd Caldwell,,
Marrakesh Express,Over the Years,2018,,Graham Nash,,
Military Madness,Over the Years,2018,,Graham Nash,,
Immigration Man,Over the Years,2018,,Graham Nash,,
Just a Song Before I Go,Over the Years,2018,,Graham Nash,,
I Used to Be a King,Over the Years,2018,,Graham Nash,,
Better Days,Over the Years,2018,,Graham Nash,,
Simple Man,Over the Years,2018,,Graham Nash,,
Teach Your Children,Over the Years,2018,,Graham Nash,,
Lady of the Island,Over the Years,2018,,Graham Nash,,
Wind on the Water,Over the Years,2018,,Graham Nash,,
Our House,Over the Years,2018,,Graham Nash,,
Cathedral,Over the Years,2018,,Graham Nash,,
Wasted on the Way,Over the Years,2018,,Graham Nash,,
Chicago / We Can Change the World,Over the Years,2018,,Graham Nash,,
"Marrakesh Express (London, 1968)",Over the Years,2018,,Graham Nash,,
"Horses Through a Rainstorm (London, 1968)",Over the Years,2018,,Graham Nash,,
"Teach Your Children (Hollywood, 1969)",Over the Years,2018,,Graham Nash,,
"Pre-Road Downs (Hollywood, 1969)",Over the Years,2018,,Graham Nash,,
"Our House (San Francisco, 1969)",Over the Years,2018,,Graham Nash,,
"Right Between the Eyes (San Francisco, 1969)",Over the Years,2018,,Graham Nash,,
"Sleep Song (San Francisco, 1969)",Over the Years,2018,,Graham Nash,,
"Chicago (Hollywood, 1970)",Over the Years,2018,,Graham Nash,,
"Man in the Mirror (Hollywood, 1970)",Over the Years,2018,,Graham Nash,,
"Simple Man (Hollywood, 1970)",Over the Years,2018,,Graham Nash,,
"I Miss You (San Francisco, 1972)",Over the Years,2018,,Graham Nash,,
"You'll Never Be the Same (San Francisco, 1972)",Over the Years,2018,,Graham Nash,,
"Wind on the Water (San Francisco, 1975)",Over the Years,2018,,Graham Nash,,
"Just a Song Before I Go (San Francisco, 1976)",Over the Years,2018,,Graham Nash,,
The Old Country Waltz,American Stars 'n Bars,"May 27, 1977","December 13, 1974 – April 4, 1977","Neil Young, David Briggs, Elliot Mazer",,
Saddle Up the Palomino,American Stars 'n Bars,"May 27, 1977","December 13, 1974 – April 4, 1977","Neil Young, David Briggs, Elliot Mazer",,
Hey Babe,American Stars 'n Bars,"May 27, 1977","December 13, 1974 – April 4, 1977","Neil Young, David Briggs, Elliot Mazer",,
Hold Back the Tears,American Stars 'n Bars,"May 27, 1977","December 13, 1974 – April 4, 1977","Neil Young, David Briggs, Elliot Mazer",,
Star of Bethlehem,American Stars 'n Bars,"May 27, 1977","December 13, 1974 – April 4, 1977","Neil Young, David Briggs, Elliot Mazer",,
Will to Love,American Stars 'n Bars,"May 27, 1977","December 13, 1974 – April 4, 1977","Neil Young, David Briggs, Elliot Mazer",,
Like a Hurricane,American Stars 'n Bars,"May 27, 1977","December 13, 1974 – April 4, 1977","Neil Young, David Briggs, Elliot Mazer",,
Opera Star,Re·ac·tor,"November 2, 1981","October 9, 1980 – July 21, 1981",David Briggs,,
Surfer Joe and Moe the Sleaze,Re·ac·tor,"November 2, 1981","October 9, 1980 – July 21, 1981",David Briggs,,
T-Bone,Re·ac·tor,"November 2, 1981","October 9, 1980 – July 21, 1981",David Briggs,,
Get Back on It,Re·ac·tor,"November 2, 1981","October 9, 1980 – July 21, 1981",David Briggs,,
