album_name,album_type,artist,album_release_date,album_duration,album_genre,album_styles,album_recording_location,album_recording_period,album_moods,album_themes,track_name,composers,genres,styles,moods,themes
Croz,studio,David Crosby,28-Jan-14,47:03:00,Pop/Rock,"Contemporary Pop/Rock, Contemporary Singer/Songwriter"," Groove Masters, Santa Monica, CA Jazz At The Lincoln Center, New York, NY Radio Hill Recorders, Los Angeles, CA ",,"Earnest, Poignant, Refined, Somber, Self-Conscious, Bittersweet, Brooding, Intimate, Laid-Back/Mellow, Literate, Reflective, Relaxed, Searching","Autumn, Early Morning, Introspection, Long Walk, Rainy Day, Reflection, Regret, Relaxation, Reminiscing, Solitude, Stay in Bed, Sunday Afternoon",Find a Heart,"David Crosby, Marcus Eaton, James Raymond",,,,
Croz,studio,David Crosby,28-Jan-14,47:03:00,Pop/Rock,"Contemporary Pop/Rock, Contemporary Singer/Songwriter"," Groove Masters, Santa Monica, CA Jazz At The Lincoln Center, New York, NY Radio Hill Recorders, Los Angeles, CA ",,"Earnest, Poignant, Refined, Somber, Self-Conscious, Bittersweet, Brooding, Intimate, Laid-Back/Mellow, Literate, Reflective, Relaxed, Searching","Autumn, Early Morning, Introspection, Long Walk, Rainy Day, Reflection, Regret, Relaxation, Reminiscing, Solitude, Stay in Bed, Sunday Afternoon",What's Broken,James Raymond,,,,
Croz,studio,David Crosby,28-Jan-14,47:03:00,Pop/Rock,"Contemporary Pop/Rock, Contemporary Singer/Songwriter"," Groove Masters, Santa Monica, CA Jazz At The Lincoln Center, New York, NY Radio Hill Recorders, Los Angeles, CA ",,"Earnest, Poignant, Refined, Somber, Self-Conscious, Bittersweet, Brooding, Intimate, Laid-Back/Mellow, Literate, Reflective, Relaxed, Searching","Autumn, Early Morning, Introspection, Long Walk, Rainy Day, Reflection, Regret, Relaxation, Reminiscing, Solitude, Stay in Bed, Sunday Afternoon",Set That Baggage Down,"David Crosby, Shane Fontayne",,,,
Croz,studio,David Crosby,28-Jan-14,47:03:00,Pop/Rock,"Contemporary Pop/Rock, Contemporary Singer/Songwriter"," Groove Masters, Santa Monica, CA Jazz At The Lincoln Center, New York, NY Radio Hill Recorders, Los Angeles, CA ",,"Earnest, Poignant, Refined, Somber, Self-Conscious, Bittersweet, Brooding, Intimate, Laid-Back/Mellow, Literate, Reflective, Relaxed, Searching","Autumn, Early Morning, Introspection, Long Walk, Rainy Day, Reflection, Regret, Relaxation, Reminiscing, Solitude, Stay in Bed, Sunday Afternoon",The Clearing,James Raymond,,,,
Croz,studio,David Crosby,28-Jan-14,47:03:00,Pop/Rock,"Contemporary Pop/Rock, Contemporary Singer/Songwriter"," Groove Masters, Santa Monica, CA Jazz At The Lincoln Center, New York, NY Radio Hill Recorders, Los Angeles, CA ",,"Earnest, Poignant, Refined, Somber, Self-Conscious, Bittersweet, Brooding, Intimate, Laid-Back/Mellow, Literate, Reflective, Relaxed, Searching","Autumn, Early Morning, Introspection, Long Walk, Rainy Day, Reflection, Regret, Relaxation, Reminiscing, Solitude, Stay in Bed, Sunday Afternoon",Slice of Time,"David Crosby, Marcus Eaton, James Raymond",,,,
Croz,studio,David Crosby,28-Jan-14,47:03:00,Pop/Rock,"Contemporary Pop/Rock, Contemporary Singer/Songwriter"," Groove Masters, Santa Monica, CA Jazz At The Lincoln Center, New York, NY Radio Hill Recorders, Los Angeles, CA ",,"Earnest, Poignant, Refined, Somber, Self-Conscious, Bittersweet, Brooding, Intimate, Laid-Back/Mellow, Literate, Reflective, Relaxed, Searching","Autumn, Early Morning, Introspection, Long Walk, Rainy Day, Reflection, Regret, Relaxation, Reminiscing, Solitude, Stay in Bed, Sunday Afternoon",Morning Falling,"David Crosby, James Raymond",,,,
Croz,studio,David Crosby,28-Jan-14,47:03:00,Pop/Rock,"Contemporary Pop/Rock, Contemporary Singer/Songwriter"," Groove Masters, Santa Monica, CA Jazz At The Lincoln Center, New York, NY Radio Hill Recorders, Los Angeles, CA ",,"Earnest, Poignant, Refined, Somber, Self-Conscious, Bittersweet, Brooding, Intimate, Laid-Back/Mellow, Literate, Reflective, Relaxed, Searching","Autumn, Early Morning, Introspection, Long Walk, Rainy Day, Reflection, Regret, Relaxation, Reminiscing, Solitude, Stay in Bed, Sunday Afternoon",If She Called,David Crosby,,,,
Croz,studio,David Crosby,28-Jan-14,47:03:00,Pop/Rock,"Contemporary Pop/Rock, Contemporary Singer/Songwriter"," Groove Masters, Santa Monica, CA Jazz At The Lincoln Center, New York, NY Radio Hill Recorders, Los Angeles, CA ",,"Earnest, Poignant, Refined, Somber, Self-Conscious, Bittersweet, Brooding, Intimate, Laid-Back/Mellow, Literate, Reflective, Relaxed, Searching","Autumn, Early Morning, Introspection, Long Walk, Rainy Day, Reflection, Regret, Relaxation, Reminiscing, Solitude, Stay in Bed, Sunday Afternoon",Holding on to Nothing,"David Crosby, Sterling Price",,,,
Croz,studio,David Crosby,28-Jan-14,47:03:00,Pop/Rock,"Contemporary Pop/Rock, Contemporary Singer/Songwriter"," Groove Masters, Santa Monica, CA Jazz At The Lincoln Center, New York, NY Radio Hill Recorders, Los Angeles, CA ",,"Earnest, Poignant, Refined, Somber, Self-Conscious, Bittersweet, Brooding, Intimate, Laid-Back/Mellow, Literate, Reflective, Relaxed, Searching","Autumn, Early Morning, Introspection, Long Walk, Rainy Day, Reflection, Regret, Relaxation, Reminiscing, Solitude, Stay in Bed, Sunday Afternoon",Time I Have,David Crosby,,,,
Croz,studio,David Crosby,28-Jan-14,47:03:00,Pop/Rock,"Contemporary Pop/Rock, Contemporary Singer/Songwriter"," Groove Masters, Santa Monica, CA Jazz At The Lincoln Center, New York, NY Radio Hill Recorders, Los Angeles, CA ",,"Earnest, Poignant, Refined, Somber, Self-Conscious, Bittersweet, Brooding, Intimate, Laid-Back/Mellow, Literate, Reflective, Relaxed, Searching","Autumn, Early Morning, Introspection, Long Walk, Rainy Day, Reflection, Regret, Relaxation, Reminiscing, Solitude, Stay in Bed, Sunday Afternoon",Radio,"David Crosby, James Raymond",,,,
Croz,studio,David Crosby,28-Jan-14,47:03:00,Pop/Rock,"Contemporary Pop/Rock, Contemporary Singer/Songwriter"," Groove Masters, Santa Monica, CA Jazz At The Lincoln Center, New York, NY Radio Hill Recorders, Los Angeles, CA ",,"Earnest, Poignant, Refined, Somber, Self-Conscious, Bittersweet, Brooding, Intimate, Laid-Back/Mellow, Literate, Reflective, Relaxed, Searching","Autumn, Early Morning, Introspection, Long Walk, Rainy Day, Reflection, Regret, Relaxation, Reminiscing, Solitude, Stay in Bed, Sunday Afternoon",Dangerous Night,"David Crosby, James Raymond",,,,
For Free,studio,David Crosby,23-Jul-21,37:29:00,"Folk, Pop/Rock","Contemporary Singer/Songwriter, Jazz-Rock, Adult Contemporary"," Groove Masters, Santa Monica HZ Werks, Van Nuys Joel Jacks Studios, Santa Ynez ",,"Melodic, Introspective, Lyrical, Playful, Warm, Agreeable, Earnest, Earthy, Fun, Graceful, Passionate, Sprightly, Uplifting, Flowing, Soothing","Introspection, Reflection, Sunday Afternoon, Daydreaming, Open Road",Rodriguez for a Night,"David Crosby, Donald Fagen, James Raymond",,,,
For Free,studio,David Crosby,23-Jul-21,37:29:00,"Folk, Pop/Rock","Contemporary Singer/Songwriter, Jazz-Rock, Adult Contemporary"," Groove Masters, Santa Monica HZ Werks, Van Nuys Joel Jacks Studios, Santa Ynez ",,"Melodic, Introspective, Lyrical, Playful, Warm, Agreeable, Earnest, Earthy, Fun, Graceful, Passionate, Sprightly, Uplifting, Flowing, Soothing","Introspection, Reflection, Sunday Afternoon, Daydreaming, Open Road",Ships in the Night,David Crosby,,,,
For Free,studio,David Crosby,23-Jul-21,37:29:00,"Folk, Pop/Rock","Contemporary Singer/Songwriter, Jazz-Rock, Adult Contemporary"," Groove Masters, Santa Monica HZ Werks, Van Nuys Joel Jacks Studios, Santa Ynez ",,"Melodic, Introspective, Lyrical, Playful, Warm, Agreeable, Earnest, Earthy, Fun, Graceful, Passionate, Sprightly, Uplifting, Flowing, Soothing","Introspection, Reflection, Sunday Afternoon, Daydreaming, Open Road",Secret Dancer,"David Crosby, James Raymond",,,,
For Free,studio,David Crosby,23-Jul-21,37:29:00,"Folk, Pop/Rock","Contemporary Singer/Songwriter, Jazz-Rock, Adult Contemporary"," Groove Masters, Santa Monica HZ Werks, Van Nuys Joel Jacks Studios, Santa Ynez ",,"Melodic, Introspective, Lyrical, Playful, Warm, Agreeable, Earnest, Earthy, Fun, Graceful, Passionate, Sprightly, Uplifting, Flowing, Soothing","Introspection, Reflection, Sunday Afternoon, Daydreaming, Open Road",Boxes,James Raymond,,,,
For Free,studio,David Crosby,23-Jul-21,37:29:00,"Folk, Pop/Rock","Contemporary Singer/Songwriter, Jazz-Rock, Adult Contemporary"," Groove Masters, Santa Monica HZ Werks, Van Nuys Joel Jacks Studios, Santa Ynez ",,"Melodic, Introspective, Lyrical, Playful, Warm, Agreeable, Earnest, Earthy, Fun, Graceful, Passionate, Sprightly, Uplifting, Flowing, Soothing","Introspection, Reflection, Sunday Afternoon, Daydreaming, Open Road",The  Other Side of Midnight,James Raymond,,,,
For Free,studio,David Crosby,23-Jul-21,37:29:00,"Folk, Pop/Rock","Contemporary Singer/Songwriter, Jazz-Rock, Adult Contemporary"," Groove Masters, Santa Monica HZ Werks, Van Nuys Joel Jacks Studios, Santa Ynez ",,"Melodic, Introspective, Lyrical, Playful, Warm, Agreeable, Earnest, Earthy, Fun, Graceful, Passionate, Sprightly, Uplifting, Flowing, Soothing","Introspection, Reflection, Sunday Afternoon, Daydreaming, Open Road",For Free,Joni Mitchell,,,,
For Free,studio,David Crosby,23-Jul-21,37:29:00,"Folk, Pop/Rock","Contemporary Singer/Songwriter, Jazz-Rock, Adult Contemporary"," Groove Masters, Santa Monica HZ Werks, Van Nuys Joel Jacks Studios, Santa Ynez ",,"Melodic, Introspective, Lyrical, Playful, Warm, Agreeable, Earnest, Earthy, Fun, Graceful, Passionate, Sprightly, Uplifting, Flowing, Soothing","Introspection, Reflection, Sunday Afternoon, Daydreaming, Open Road",I Think I,"David Crosby, Steve Postell, James Raymond",,,,
For Free,studio,David Crosby,23-Jul-21,37:29:00,"Folk, Pop/Rock","Contemporary Singer/Songwriter, Jazz-Rock, Adult Contemporary"," Groove Masters, Santa Monica HZ Werks, Van Nuys Joel Jacks Studios, Santa Ynez ",,"Melodic, Introspective, Lyrical, Playful, Warm, Agreeable, Earnest, Earthy, Fun, Graceful, Passionate, Sprightly, Uplifting, Flowing, Soothing","Introspection, Reflection, Sunday Afternoon, Daydreaming, Open Road",I Won't Stay for Long,James Raymond,,,,
