track,album,album_type,artist,release_date,recording_period,producers,writers,vocals
Encore Rap,Bluenote Cafe,live,Neil Young,2015-13-11,November 1987�� August 1993,"Neil Young, Niko Bolas",Neil Young,Neil Young
Fool for Your Love,Bluenote Cafe,live,Neil Young,2015-13-11,November 1987�� August 1994,"Neil Young, Niko Bolas",Neil Young,Neil Young
Hello Lonely Woman,Bluenote Cafe,live,Neil Young,2015-13-11,November 1987�� August 1995,"Neil Young, Niko Bolas",Neil Young,Neil Young
I'm Goin',Bluenote Cafe,live,Neil Young,2015-13-11,November 1987�� August 1996,"Neil Young, Niko Bolas",Neil Young,Neil Young
Life in the City,Bluenote Cafe,live,Neil Young,2015-13-11,November 1987�� August 1997,"Neil Young, Niko Bolas",Neil Young,Neil Young
Married Man,Bluenote Cafe,live,Neil Young,2015-13-11,November 1987�� August 1998,"Neil Young, Niko Bolas",Neil Young,Neil Young
One Thing,Bluenote Cafe,live,Neil Young,2015-13-11,November 1987�� August 1999,"Neil Young, Niko Bolas",Neil Young,Neil Young
Soul of a Woman,Bluenote Cafe,live,Neil Young,2015-13-11,November 1987�� August 2000,"Neil Young, Niko Bolas",Neil Young,Neil Young
Sunny Inside,Bluenote Cafe,live,Neil Young,2015-13-11,November 1987�� August 2001,"Neil Young, Niko Bolas",Neil Young,Neil Young
Ten Men Workin',Bluenote Cafe,live,Neil Young,2015-13-11,November 1987�� August 2002,"Neil Young, Niko Bolas",Neil Young,Neil Young
This Note's for You,Bluenote Cafe,live,Neil Young,2015-13-11,November 1987�� August 2003,"Neil Young, Niko Bolas",Neil Young,Neil Young
Twilight,Bluenote Cafe,live,Neil Young,2015-13-11,November 1987�� August 2004,"Neil Young, Niko Bolas",Neil Young,Neil Young
Welcome Rap,Bluenote Cafe,live,Neil Young,2015-13-11,November 1987�� August 2005,"Neil Young, Niko Bolas",Neil Young,Neil Young
Welcome to the Big Room,Bluenote Cafe,live,Neil Young,2015-13-11,November 1987�� August 2006,"Neil Young, Niko Bolas",Neil Young,Neil Young
Beautiful Bluebird,Chrome Dreams II,studio,Neil Young,2007-23-10,"May 31 – July 6, 2007",Niko Bolas,Neil Young,Neil Young
Boxcar,Chrome Dreams II,studio,Neil Young,2007-23-10,"May 31 – July 6, 2007",Niko Bolas,Neil Young,Neil Young
Dirty Old Man,Chrome Dreams II,studio,Neil Young,2007-23-10,"May 31 – July 6, 2007",Niko Bolas,Neil Young,Neil Young
Ever After,Chrome Dreams II,studio,Neil Young,2007-23-10,"May 31 – July 6, 2007",Niko Bolas,Neil Young,Neil Young
No Hidden Path,Chrome Dreams II,studio,Neil Young,2007-23-10,"May 31 – July 6, 2007",Niko Bolas,Neil Young,Neil Young
Ordinary People,Chrome Dreams II,studio,Neil Young,2007-23-10,"May 31 – July 6, 2007",Niko Bolas,Neil Young,"Neil Young, Joe Canuck"
Shining Light,Chrome Dreams II,studio,Neil Young,2007-23-10,"May 31 – July 6, 2007",Niko Bolas,Neil Young,Neil Young
Spirit Road,Chrome Dreams II,studio,Neil Young,2007-23-10,"May 31 – July 6, 2007",Niko Bolas,Neil Young,Neil Young
The Believer,Chrome Dreams II,studio,Neil Young,2007-23-10,"May 31 – July 6, 2007",Niko Bolas,Neil Young,Neil Young
The Way ,Chrome Dreams II,studio,Neil Young,2007-23-10,"May 31 – July 6, 2007",Niko Bolas,Neil Young,Neil Young
Already One,Comes a Time,studio,Neil Young,1978-21-10,"January 10, 1976 – November 21, 1983","Neil Young, David Briggs, Ben Keith, Tom Mulligan",Neil Young,"Neil Young, Nicolette Larson"
Comes a Time,Comes a Time,studio,Neil Young,1978-21-10,"January 10, 1976 – November 21, 1978","Neil Young, David Briggs, Ben Keith, Tom Mulligan",Neil Young,"Neil Young, Nicolette Larson"
Field of Opportunity,Comes a Time,studio,Neil Young,1978-21-10,"January 10, 1976 – November 21, 1984","Neil Young, David Briggs, Ben Keith, Tom Mulligan",Neil Young,"Neil Young, Nicolette Larson"
Four Strong Winds,Comes a Time,studio,Neil Young,1978-21-10,"January 10, 1976 – November 21, 1986","Neil Young, David Briggs, Ben Keith, Tom Mulligan",Neil Young,"Neil Young, Nicolette Larson"
Goin' Back,Comes a Time,studio,Neil Young,1978-21-10,"January 10, 1976 – November 21, 1977","Neil Young, David Briggs, Ben Keith, Tom Mulligan",Neil Young,"Neil Young, Nicolette Larson"
Human Highway,Comes a Time,studio,Neil Young,1978-21-10,"January 10, 1976 – November 21, 1982","Neil Young, David Briggs, Ben Keith, Tom Mulligan",Neil Young,"Neil Young, Nicolette Larson"
Look Out for My Love,Comes a Time,studio,Neil Young,1978-21-10,"January 10, 1976 – November 21, 1979","Neil Young, David Briggs, Ben Keith, Tom Mulligan",Neil Young,"Neil Young, Frank ""Poncho"" Sampedro, Billy Talbot, Ralph Molina"
Lotta Love,Comes a Time,studio,Neil Young,1978-21-10,"January 10, 1976 – November 21, 1980","Neil Young, David Briggs, Ben Keith, Tom Mulligan",Neil Young,"Neil Young, Frank ""Poncho"" Sampedro, Billy Talbot, Ralph Molina"
Motorcycle Mama,Comes a Time,studio,Neil Young,1978-21-10,"January 10, 1976 – November 21, 1985","Neil Young, David Briggs, Ben Keith, Tom Mulligan",Neil Young,"Neil Young, Nicolette Larson"
Peace of Mind,Comes a Time,studio,Neil Young,1978-21-10,"January 10, 1976 – November 21, 1981","Neil Young, David Briggs, Ben Keith, Tom Mulligan",Neil Young,"Neil Young, Nicolette Larson"
Do You Know How to Use This Weapon?,Dead Man,sountrack,Neil Young,1996-27-02,27-Mar-95,"Neil Young, John Hanlon",Neil Young,Neil Young
"Guitar Solo, No. 1",Dead Man,sountrack,Neil Young,1996-27-02,27-Mar-95,"Neil Young, John Hanlon",Neil Young,Neil Young
"Guitar Solo, No. 2",Dead Man,sountrack,Neil Young,1996-27-02,27-Mar-95,"Neil Young, John Hanlon",Neil Young,Neil Young
"Guitar Solo, No. 3",Dead Man,sountrack,Neil Young,1996-27-02,27-Mar-95,"Neil Young, John Hanlon",Neil Young,Neil Young
"Guitar Solo, No. 4",Dead Man,sountrack,Neil Young,1996-27-02,27-Mar-95,"Neil Young, John Hanlon",Neil Young,Neil Young
"Guitar Solo, No. 5",Dead Man,sountrack,Neil Young,1996-27-02,27-Mar-95,"Neil Young, John Hanlon",Neil Young,Neil Young
"Guitar Solo, No. 6",Dead Man,sountrack,Neil Young,1996-27-02,27-Mar-95,"Neil Young, John Hanlon",Neil Young,Neil Young
Nobody's Story,Dead Man,sountrack,Neil Young,1996-27-02,27-Mar-95,"Neil Young, John Hanlon",Neil Young,Neil Young
Organ Solo,Dead Man,sountrack,Neil Young,1996-27-02,27-Mar-95,"Neil Young, John Hanlon",Neil Young,Neil Young
Stupid White Men...,Dead Man,sountrack,Neil Young,1996-27-02,27-Mar-95,"Neil Young, John Hanlon",Neil Young,Neil Young
The Round Stones Beneath the Earth...,Dead Man,sountrack,Neil Young,1996-27-02,27-Mar-95,"Neil Young, John Hanlon",Neil Young,Neil Young
Theme from Dead Man,Dead Man,sountrack,Neil Young,1996-27-02,27-Mar-95,"Neil Young, John Hanlon",Neil Young,Neil Young
"Time for You to Leave, William Blake...",Dead Man,sountrack,Neil Young,1996-27-02,27-Mar-95,"Neil Young, John Hanlon",Neil Young,Neil Young
"Why Dost Thou Hide Thyself, Clouds",Dead Man,sountrack,Neil Young,1996-27-02,27-Mar-95,"Neil Young, John Hanlon",Neil Young,Neil Young
Cough Up the Bucks,Fork in the Road,studio,Neil Young,7/4/2009,"December 19 – 21, 2008",Niko Bolas,Neil Young,Neil Young
Fork in the Road,Fork in the Road,studio,Neil Young,7/4/2009,"December 19 – 21, 2008",Niko Bolas,Neil Young,Neil Young
Fuel Line,Fork in the Road,studio,Neil Young,7/4/2009,"December 19 – 21, 2008",Niko Bolas,Neil Young,Neil Young
Get Behind the Wheel,Fork in the Road,studio,Neil Young,7/4/2009,"December 19 – 21, 2008",Niko Bolas,Neil Young,Neil Young
Hit the Road,Fork in the Road,studio,Neil Young,7/4/2009,"December 19 – 21, 2008",Niko Bolas,Neil Young,Neil Young
Johnny Magic,Fork in the Road,studio,Neil Young,7/4/2009,"December 19 – 21, 2008",Niko Bolas,Neil Young,Neil Young
Just Singing a Song,Fork in the Road,studio,Neil Young,7/4/2009,"December 19 – 21, 2008",Niko Bolas,Neil Young,Neil Young
Light a Candle,Fork in the Road,studio,Neil Young,7/4/2009,"December 19 – 21, 2008",Niko Bolas,Neil Young,Neil Young
Off the Road,Fork in the Road,studio,Neil Young,7/4/2009,"December 19 – 21, 2008",Niko Bolas,Neil Young,Neil Young
When Worlds Collide,Fork in the Road,studio,Neil Young,7/4/2009,"December 19 – 21, 2008",Niko Bolas,Neil Young,Neil Young
Crime in the City,Freedom,studio,Neil Young,2/10/1989,"July 25, 1988– July 10, 1989",Niko Bolas,Neil Young,Neil Young
Don't Cry,Freedom,studio,Neil Young,2/10/1989,"July 25, 1988– July 10, 1989",Niko Bolas,Neil Young,Neil Young
Eldorado,Freedom,studio,Neil Young,2/10/1989,"July 25, 1988– July 10, 1989",Niko Bolas,Neil Young,Neil Young
Hangin' on a Limb,Freedom,studio,Neil Young,2/10/1989,"July 25, 1988– July 10, 1989",Niko Bolas,Neil Young,"Neil Young, Linda Ronstadt"
No More,Freedom,studio,Neil Young,2/10/1989,"July 25, 1988– July 10, 1989",Niko Bolas,Neil Young,Neil Young
On Broadway,Freedom,studio,Neil Young,2/10/1989,"July 25, 1988– July 10, 1989",Niko Bolas,"Barry Mann, Cynthia Weil, Jerry Leiber, Mike Stoller",Neil Young
Rockin' in the Free World,Freedom,studio,Neil Young,2/10/1989,"July 25, 1988– July 10, 1989",Niko Bolas,Neil Young,Neil Young
Someday,Freedom,studio,Neil Young,2/10/1989,"July 25, 1988– July 10, 1989",Niko Bolas,Neil Young,Neil Young
The Ways of Love,Freedom,studio,Neil Young,2/10/1989,"July 25, 1988– July 10, 1989",Niko Bolas,Neil Young,"Neil Young, Linda Ronstadt"
Too Far Gone,Freedom,studio,Neil Young,2/10/1989,"July 25, 1988– July 10, 1989",Niko Bolas,Neil Young,Neil Young
Wrecking Ball,Freedom,studio,Neil Young,2/10/1989,"July 25, 1988– July 10, 1989",Niko Bolas,Neil Young,Neil Young
A Man Needs a Maid,Harvest,studio,Neil Young,2/1/1972,January – September 1973,"Neil Young, Elliot Mazer, Henry Lewy, Jack Nitzsche",Neil Young,Neil Young
Alabama,Harvest,studio,Neil Young,2/1/1972,January – September 1978,"Neil Young, Elliot Mazer, Henry Lewy, Jack Nitzsche",Neil Young,"Neil Young, David Crosby, Stephen Stills"
Are You Ready for the Country?,Harvest,studio,Neil Young,2/1/1972,January – September 1975,"Neil Young, Elliot Mazer, Henry Lewy, Jack Nitzsche",Neil Young,"Neil Young, David Crosby, Graham Nash"
Bad Fog of Loneliness,Harvest,studio,Neil Young,2/1/1972,January – September 1981,"Neil Young, Elliot Mazer, Henry Lewy, Jack Nitzsche",Neil Young,"Neil Young, Linda Ronstadt, James Taylor"
Dance Dance Dance,Harvest,studio,Neil Young,2/1/1972,January – September 1983,"Neil Young, Elliot Mazer, Henry Lewy, Jack Nitzsche",Neil Young,Neil Young
Harvest,Harvest,studio,Neil Young,2/1/1972,January – September 1972,"Neil Young, Elliot Mazer, Henry Lewy, Jack Nitzsche",Neil Young,Neil Young
Heart of Gold,Harvest,studio,Neil Young,2/1/1972,January – September 1974,"Neil Young, Elliot Mazer, Henry Lewy, Jack Nitzsche",Neil Young,"Neil Young, Linda Ronstadt, James Taylor"
Journey Through the Past,Harvest,studio,Neil Young,2/1/1972,January – September 1982,"Neil Young, Elliot Mazer, Henry Lewy, Jack Nitzsche",Neil Young,Neil Young
Old Man,Harvest,studio,Neil Young,2/1/1972,January – September 1976,"Neil Young, Elliot Mazer, Henry Lewy, Jack Nitzsche",Neil Young,"Neil Young, Linda Ronstadt, James Taylor"
Out on the Weekend,Harvest,studio,Neil Young,2/1/1972,January – September 1971,"Neil Young, Elliot Mazer, Henry Lewy, Jack Nitzsche",Neil Young,Neil Young
See The Sky About to Rain,Harvest,studio,Neil Young,2/1/1972,January – September 1984,"Neil Young, Elliot Mazer, Henry Lewy, Jack Nitzsche",Neil Young,Neil Young
The Needle and the Damage Done,Harvest,studio,Neil Young,2/1/1972,January – September 1979,"Neil Young, Elliot Mazer, Henry Lewy, Jack Nitzsche",Neil Young,Neil Young
There's a World,Harvest,studio,Neil Young,2/1/1972,January – September 1977,"Neil Young, Elliot Mazer, Henry Lewy, Jack Nitzsche",Neil Young,Neil Young
Words (Between the Lines of Age),Harvest,studio,Neil Young,2/1/1972,January – September 1980,"Neil Young, Elliot Mazer, Henry Lewy, Jack Nitzsche",Neil Young,Neil Young
Dreamin' Man,Harvest Moon,studio,Neil Young,2/11/1992,September 1991 – February 1992,Ben Keith,Neil Young,"Neil Young, Nicolette Larson, Astrid Young"
From Hank to Hendrix,Harvest Moon,studio,Neil Young,2/11/1992,September 1991 – February 1992,Ben Keith,Neil Young,"Neil Young, Linda Ronstadt, James Taylor"
Harvest Moon,Harvest Moon,studio,Neil Young,2/11/1992,September 1991 – February 1992,Ben Keith,Neil Young,"Neil Young, Linda Ronstadt"
Natural Beauty,Harvest Moon,studio,Neil Young,2/11/1992,September 1991 – February 1992,Ben Keith,Neil Young,"Neil Young, Nicolette Larson, Linda Ronstadt"
Old King,Harvest Moon,studio,Neil Young,2/11/1992,September 1991 – February 1992,Ben Keith,Neil Young,"Neil Young, Nicolette Larson"
One of These Days,Harvest Moon,studio,Neil Young,2/11/1992,September 1991 – February 1992,Ben Keith,Neil Young,"Neil Young, Linda Ronstadt, James Taylor"
Such a Woman,Harvest Moon,studio,Neil Young,2/11/1992,September 1991 – February 1992,Ben Keith,Neil Young,"Neil Young, Nicolette Larson, Astrid Young"
Unknown Legend,Harvest Moon,studio,Neil Young,2/11/1992,September 1991 – February 1992,Ben Keith,Neil Young,"Neil Young, Linda Ronstadt"
War of Man,Harvest Moon,studio,Neil Young,2/11/1992,September 1991 – February 1992,Ben Keith,Neil Young,"Neil Young, Ben Keith, Nicolette Larson, Linda Ronstadt, James Taylor, Astrid Young"
You and Me,Harvest Moon,studio,Neil Young,2/11/1992,September 1991 – February 1992,Ben Keith,Neil Young,"Neil Young, Nicolette Larson"
Captain Kennedy,Hawks & Doves,studio,Neil Young,1980-29-10,"December 11, 1974 – July 5, 1983","Neil Young, Tim Mulligan, Elliot Mazer",Neil Young,Neil Young
Coastline,Hawks & Doves,studio,Neil Young,1980-29-10,"December 11, 1974 – July 5, 1985","Neil Young, Tim Mulligan, Elliot Mazer",Neil Young,"Neil Young, Ben Keith, Hillary O'Brien"
Comin' Apart at Every Nail,Hawks & Doves,studio,Neil Young,1980-29-10,"December 11, 1974 – July 5, 1987","Neil Young, Tim Mulligan, Elliot Mazer",Neil Young,"Neil Young, Ben Keith, Hillary O'Brien"
Hawks & Doves,Hawks & Doves,studio,Neil Young,1980-29-10,"December 11, 1974 – July 5, 1988","Neil Young, Tim Mulligan, Elliot Mazer",Neil Young,"Neil Young, Ben Keith, Hillary O'Brien"
Little Wing,Hawks & Doves,studio,Neil Young,1980-29-10,"December 11, 1974 – July 5, 1980","Neil Young, Tim Mulligan, Elliot Mazer",Neil Young,Neil Young
Lost in Space,Hawks & Doves,studio,Neil Young,1980-29-10,"December 11, 1974 – July 5, 1982","Neil Young, Tim Mulligan, Elliot Mazer",Neil Young,Neil Young
Stayin' Power,Hawks & Doves,studio,Neil Young,1980-29-10,"December 11, 1974 – July 5, 1984","Neil Young, Tim Mulligan, Elliot Mazer",Neil Young,"Neil Young, Ben Keith, Hillary O'Brien"
The Old Homestead,Hawks & Doves,studio,Neil Young,1980-29-10,"December 11, 1974 – July 5, 1981","Neil Young, Tim Mulligan, Elliot Mazer",Neil Young,Neil Young
Union Man,Hawks & Doves,studio,Neil Young,1980-29-10,"December 11, 1974 – July 5, 1986","Neil Young, Tim Mulligan, Elliot Mazer",Neil Young,"Neil Young, Ben Keith, Hillary O'Brien"
Campaigner,Hitchhiker,studio,Neil Young,8/9/2017,11-Aug-76,"David Briggs, John Hanlon ",Neil Young,Neil Young
Captain Kennedy,Hitchhiker,studio,Neil Young,8/9/2017,11-Aug-76,"David Briggs, John Hanlon ",Neil Young,Neil Young
Give Me Strength,Hitchhiker,studio,Neil Young,8/9/2017,11-Aug-76,"David Briggs, John Hanlon ",Neil Young,Neil Young
Hawaii,Hitchhiker,studio,Neil Young,8/9/2017,11-Aug-76,"David Briggs, John Hanlon ",Neil Young,Neil Young
Human Highway,Hitchhiker,studio,Neil Young,8/9/2017,11-Aug-76,"David Briggs, John Hanlon ",Neil Young,Neil Young
Powderfinger,Hitchhiker,studio,Neil Young,8/9/2017,11-Aug-76,"David Briggs, John Hanlon ",Neil Young,Neil Young
Ride My Llama,Hitchhiker,studio,Neil Young,8/9/2017,11-Aug-76,"David Briggs, John Hanlon ",Neil Young,Neil Young
Florida,Homegrown,studio,Neil Young,2020-19-06,"June, September, December 1974, January 1975","Neil Young, Elliot Mazer, Ben Keith, Tim Mulligan",Neil Young,Neil Young
Homegrown,Homegrown,studio,Neil Young,2020-19-06,"June, September, December 1974, January 1975","Neil Young, Elliot Mazer, Ben Keith, Tim Mulligan",Neil Young,Neil Young
Kansas,Homegrown,studio,Neil Young,2020-19-06,"June, September, December 1974, January 1976","Neil Young, Elliot Mazer, Ben Keith, Tim Mulligan",Neil Young,Neil Young
Little Wing,Homegrown,studio,Neil Young,2020-19-06,"June, September, December 1974, January 1985","Neil Young, Elliot Mazer, Ben Keith, Tim Mulligan",Neil Young,Neil Young
Love Is a Rose,Homegrown,studio,Neil Young,2020-19-06,"June, September, December 1974, January 1977","Neil Young, Elliot Mazer, Ben Keith, Tim Mulligan",Neil Young,Neil Young
Mexico,Homegrown,studio,Neil Young,2020-19-06,"June, September, December 1974, January 1978","Neil Young, Elliot Mazer, Ben Keith, Tim Mulligan",Neil Young,Neil Young
Separate Ways,Homegrown,studio,Neil Young,2020-19-06,"June, September, December 1974, January 1979","Neil Young, Elliot Mazer, Ben Keith, Tim Mulligan",Neil Young,Neil Young
Star of Bethlehem,Homegrown,studio,Neil Young,2020-19-06,"June, September, December 1974, January 1980","Neil Young, Elliot Mazer, Ben Keith, Tim Mulligan",Neil Young,Neil Young
Try,Homegrown,studio,Neil Young,2020-19-06,"June, September, December 1974, January 1981","Neil Young, Elliot Mazer, Ben Keith, Tim Mulligan",Neil Young,Neil Young
Vacancy,Homegrown,studio,Neil Young,2020-19-06,"June, September, December 1974, January 1982","Neil Young, Elliot Mazer, Ben Keith, Tim Mulligan",Neil Young,Neil Young
We Don't Smoke It No More,Homegrown,studio,Neil Young,2020-19-06,"June, September, December 1974, January 1983","Neil Young, Elliot Mazer, Ben Keith, Tim Mulligan",Neil Young,Neil Young
White Line,Homegrown,studio,Neil Young,2020-19-06,"June, September, December 1974, January 1984","Neil Young, Elliot Mazer, Ben Keith, Tim Mulligan",Neil Young,Neil Young
Bad News Beat,Landing on Water,studio,Neil Young,1986-21-07,August 1983 – March 1986,"Neil Young, Danny Kortchmar",Neil Young,Neil Young
Drifter,Landing on Water,studio,Neil Young,1986-21-07,August 1983 – March 1986,"Neil Young, Danny Kortchmar",Neil Young,Neil Young
Hard Luck Stories,Landing on Water,studio,Neil Young,1986-21-07,August 1983 – March 1986,"Neil Young, Danny Kortchmar",Neil Young,Neil Young
Hippie Dream,Landing on Water,studio,Neil Young,1986-21-07,August 1983 – March 1986,"Neil Young, Danny Kortchmar",Neil Young,Neil Young
I Got a Problem,Landing on Water,studio,Neil Young,1986-21-07,August 1983 – March 1986,"Neil Young, Danny Kortchmar",Neil Young,Neil Young
People on the Street,Landing on Water,studio,Neil Young,1986-21-07,August 1983 – March 1986,"Neil Young, Danny Kortchmar",Neil Young,Neil Young
Pressure,Landing on Water,studio,Neil Young,1986-21-07,August 1983 – March 1986,"Neil Young, Danny Kortchmar",Neil Young,Neil Young
Touch the Night,Landing on Water,studio,Neil Young,1986-21-07,August 1983 – March 1986,"Neil Young, Danny Kortchmar",Neil Young,Neil Young
Violent Side,Landing on Water,studio,Neil Young,1986-21-07,August 1983 – March 1986,"Neil Young, Danny Kortchmar",Neil Young,Neil Young
Weight of the World,Landing on Water,studio,Neil Young,1986-21-07,August 1983 – March 1986,"Neil Young, Danny Kortchmar",Neil Young,Neil Young
Angry World,Le Noise,studio,Neil Young,2010-28-09,"March 28 – May 28, 2010, July 9, 2010",Daniel Lanois,Neil Young,Neil Young
Hitchhiker,Le Noise,studio,Neil Young,2010-28-09,"March 28 – May 28, 2010, July 9, 2010",Daniel Lanois,Neil Young,Neil Young
Love and War,Le Noise,studio,Neil Young,2010-28-09,"March 28 – May 28, 2010, July 9, 2010",Daniel Lanois,Neil Young,Neil Young
Peaceful Valley Boulevard,Le Noise,studio,Neil Young,2010-28-09,"March 28 – May 28, 2010, July 9, 2010",Daniel Lanois,Neil Young,Neil Young
Rumblin,Le Noise,studio,Neil Young,2010-28-09,"March 28 – May 28, 2010, July 9, 2010",Daniel Lanois,Neil Young,Neil Young
Sign of Love,Le Noise,studio,Neil Young,2010-28-09,"March 28 – May 28, 2010, July 9, 2010",Daniel Lanois,Neil Young,Neil Young
Someone's Gonna Rescue You,Le Noise,studio,Neil Young,2010-28-09,"March 28 – May 28, 2010, July 9, 2010",Daniel Lanois,Neil Young,Neil Young
Walk with Me,Le Noise,studio,Neil Young,2010-28-09,"March 28 – May 28, 2010, July 9, 2010",Daniel Lanois,Neil Young,Neil Young
After the Garden,Living with War,studio,Neil Young,2/5/2006,"March 29 – April 6, 2006",Niko Bolas L.A. Johnson,Neil Young,Neil Young
